time,station,windspeed_ms,pressure_hPa,rel_hum,niederschlag,sun_hours,temperature,glob_radiation_wm2
2024-06-01T00:00+00:00,4115,3.0,984.6,90.0,0.0,0.0,13.1,0
2024-06-01T01:00+00:00,4115,2.5,984.6,87.0,0.0,0.0,13.0,0
2024-06-01T02:00+00:00,4115,2.6,984.8,83.0,0.0,0.0,13.2,0
2024-06-01T03:00+00:00,4115,1.8,985.3,83.0,0.0,0.0,12.9,0
2024-06-01T04:00+00:00,4115,1.7,985.6,83.0,0.0,0.0,12.5,16
2024-06-01T05:00+00:00,4115,1.5,986.0,83.0,0.0,0.2,13.8,106
2024-06-01T06:00+00:00,4115,0.8,986.7,77.0,0.0,0.0,14.6,124
2024-06-01T07:00+00:00,4115,1.0,987.0,70.0,0.0,0.4,16.9,387
2024-06-01T08:00+00:00,4115,0.5,987.6,71.0,0.0,0.1,17.0,358
2024-06-01T09:00+00:00,4115,1.0,987.6,68.0,0.0,0.3,17.8,476
2024-06-01T10:00+00:00,4115,1.3,987.6,70.0,0.0,0.4,18.4,554
2024-06-01T11:00+00:00,4115,1.1,988.0,83.0,7.2,0.0,15.1,166
2024-06-01T12:00+00:00,4115,1.1,988.0,84.0,4.4,0.0,16.1,180
2024-06-01T13:00+00:00,4115,2.8,988.4,77.0,0.0,0.0,16.3,340
2024-06-01T14:00+00:00,4115,3.3,988.1,64.0,0.0,0.9,19.0,565
2024-06-01T15:00+00:00,4115,2.9,988.2,60.0,0.0,0.6,18.8,404
2024-06-01T16:00+00:00,4115,5.1,988.6,65.0,0.0,0.9,17.5,408
2024-06-01T17:00+00:00,4115,4.7,988.9,69.0,0.0,0.9,16.5,241
2024-06-01T18:00+00:00,4115,4.4,989.1,75.0,0.0,1.0,15.3,107
2024-06-01T19:00+00:00,4115,4.4,989.6,80.0,0.0,0.2,14.3,13
2024-06-01T20:00+00:00,4115,4.2,989.9,81.0,0.0,0.0,14.1,0
2024-06-01T21:00+00:00,4115,3.9,990.0,83.0,0.0,0.0,13.8,0
2024-06-01T22:00+00:00,4115,3.7,990.2,83.0,0.0,0.0,13.7,0
2024-06-01T23:00+00:00,4115,4.1,990.2,84.0,0.0,0.0,13.8,0
2024-06-02T00:00+00:00,4115,4.1,990.3,84.0,0.0,0.0,13.7,0
2024-06-02T01:00+00:00,4115,3.3,990.5,85.0,0.0,0.0,13.7,0
2024-06-02T02:00+00:00,4115,3.6,990.7,85.0,0.0,0.0,14.0,0
2024-06-02T03:00+00:00,4115,3.2,991.2,86.0,0.0,0.0,14.1,1
2024-06-02T04:00+00:00,4115,3.5,991.4,84.0,0.0,0.5,14.7,45
2024-06-02T05:00+00:00,4115,3.5,991.6,80.0,0.0,0.6,16.1,154
2024-06-02T06:00+00:00,4115,3.4,992.2,81.0,0.0,0.5,15.9,269
2024-06-02T07:00+00:00,4115,2.9,992.6,79.0,0.0,0.0,16.8,174
2024-06-02T08:00+00:00,4115,4.3,993.0,75.0,0.0,0.3,17.0,443
2024-06-02T09:00+00:00,4115,4.7,993.1,74.0,0.0,0.1,17.5,358
2024-06-02T10:00+00:00,4115,4.7,993.2,70.0,0.0,0.3,19.0,516
2024-06-02T11:00+00:00,4115,3.8,993.4,66.0,0.0,0.7,20.6,842
2024-06-02T12:00+00:00,4115,4.9,993.2,65.0,0.0,1.0,21.0,923
2024-06-02T13:00+00:00,4115,3.7,993.0,63.0,0.0,0.7,22.4,626
2024-06-02T14:00+00:00,4115,3.8,992.6,59.0,0.0,1.0,22.4,710
2024-06-02T15:00+00:00,4115,3.4,992.6,57.0,0.0,1.0,22.8,555
2024-06-02T16:00+00:00,4115,3.7,992.2,60.0,0.0,1.0,21.6,356
2024-06-02T17:00+00:00,4115,3.1,992.6,65.0,0.0,0.6,20.6,170
2024-06-02T18:00+00:00,4115,2.7,992.7,67.0,0.0,0.0,20.0,69
2024-06-02T19:00+00:00,4115,2.5,993.0,71.0,0.0,0.0,19.0,12
2024-06-02T20:00+00:00,4115,2.2,993.2,70.0,0.0,0.0,18.7,0
2024-06-02T21:00+00:00,4115,2.0,992.7,73.0,0.0,0.0,18.0,0
2024-06-02T22:00+00:00,4115,1.8,992.7,77.0,0.0,0.0,17.5,0
2024-06-02T23:00+00:00,4115,1.6,993.2,79.0,0.0,0.0,17.3,0
2024-06-03T00:00+00:00,4115,0.9,992.7,83.0,0.0,0.0,16.6,0
2024-06-03T01:00+00:00,4115,1.0,992.9,83.0,0.0,0.0,16.8,0
2024-06-03T02:00+00:00,4115,0.4,992.4,87.0,0.0,0.0,16.1,0
2024-06-03T03:00+00:00,4115,0.9,992.4,86.0,0.0,0.0,16.1,0
2024-06-03T04:00+00:00,4115,0.5,992.4,88.0,0.0,0.0,15.8,8
2024-06-03T05:00+00:00,4115,1.6,992.4,82.0,0.0,0.4,18.0,149
2024-06-03T06:00+00:00,4115,2.6,992.5,78.0,0.0,1.0,18.7,380
2024-06-03T07:00+00:00,4115,2.2,992.4,75.0,0.0,0.8,19.6,453
2024-06-03T08:00+00:00,4115,1.6,992.4,75.0,0.0,0.5,20.2,475
2024-06-03T09:00+00:00,4115,0.7,992.2,73.0,0.0,0.1,20.6,349
2024-06-03T10:00+00:00,4115,2.3,992.1,70.0,0.0,0.2,21.3,595
2024-06-03T11:00+00:00,4115,1.7,991.3,63.0,0.0,0.7,22.7,721
2024-06-03T12:00+00:00,4115,1.8,990.5,60.0,0.0,0.6,23.0,722
2024-06-03T13:00+00:00,4115,1.4,990.0,64.0,0.0,0.3,22.6,461
2024-06-03T14:00+00:00,4115,1.3,989.8,79.0,0.2,0.0,19.3,99
2024-06-03T15:00+00:00,4115,1.4,989.6,84.0,0.0,0.0,19.6,144
2024-06-03T16:00+00:00,4115,1.1,990.5,91.0,11.4,0.0,15.5,13
2024-06-03T17:00+00:00,4115,2.1,990.3,98.0,8.9,0.0,15.2,1
2024-06-03T18:00+00:00,4115,1.4,990.0,95.0,2.4,0.0,15.1,2
2024-06-03T19:00+00:00,4115,2.5,990.2,95.0,0.2,0.0,15.6,2
2024-06-03T20:00+00:00,4115,3.1,990.4,94.0,0.0,0.0,15.5,0
2024-06-03T21:00+00:00,4115,3.2,990.7,95.0,1.6,0.0,15.4,0
2024-06-03T22:00+00:00,4115,3.0,990.5,95.0,1.9,0.0,15.5,0
2024-06-03T23:00+00:00,4115,3.0,990.3,96.0,0.1,0.0,15.6,0
2024-06-04T00:00+00:00,4115,3.1,990.5,97.0,6.9,0.0,15.5,0
2024-06-04T01:00+00:00,4115,3.4,990.9,96.0,17.0,0.0,14.6,0
2024-06-04T02:00+00:00,4115,3.8,991.0,94.0,0.8,0.0,14.2,0
2024-06-04T03:00+00:00,4115,4.3,991.0,92.0,0.0,0.0,13.5,0
2024-06-04T04:00+00:00,4115,4.5,991.2,90.0,0.0,0.0,13.6,16
2024-06-04T05:00+00:00,4115,4.2,992.1,88.0,0.0,0.0,14.0,79
2024-06-04T06:00+00:00,4115,3.8,992.4,86.0,0.0,0.0,14.0,95
2024-06-04T07:00+00:00,4115,3.1,992.7,83.0,0.0,0.0,14.5,165
2024-06-04T08:00+00:00,4115,3.3,993.2,78.0,0.0,0.0,14.8,195
2024-06-04T09:00+00:00,4115,3.6,992.9,73.0,0.0,0.0,16.2,322
2024-06-04T10:00+00:00,4115,3.9,993.0,68.0,0.0,0.0,17.5,493
2024-06-04T11:00+00:00,4115,2.9,993.0,68.0,0.0,0.0,18.5,429
2024-06-04T12:00+00:00,4115,2.0,992.7,66.0,0.0,0.2,18.6,413
2024-06-04T13:00+00:00,4115,2.1,992.6,63.0,0.0,0.0,18.8,315
2024-06-04T14:00+00:00,4115,2.4,992.3,67.0,0.0,0.0,19.0,334
2024-06-04T15:00+00:00,4115,1.8,991.8,67.0,0.0,0.2,19.0,286
2024-06-04T16:00+00:00,4115,1.8,991.6,63.0,0.0,0.3,19.9,262
2024-06-04T17:00+00:00,4115,1.4,991.5,62.0,0.0,0.2,20.0,183
2024-06-04T18:00+00:00,4115,1.1,991.4,70.0,0.0,0.4,18.5,85
2024-06-04T19:00+00:00,4115,1.6,991.4,86.0,0.0,0.0,15.6,12
2024-06-04T20:00+00:00,4115,1.6,991.6,91.0,0.0,0.0,13.6,0
2024-06-04T21:00+00:00,4115,0.7,991.6,93.0,0.0,0.0,12.6,0
2024-06-04T22:00+00:00,4115,0.7,991.6,94.0,0.0,0.0,12.6,0
2024-06-04T23:00+00:00,4115,0.6,991.5,94.0,0.0,0.0,11.8,0
2024-06-05T00:00+00:00,4115,0.3,991.5,96.0,0.0,0.0,11.4,0
2024-06-05T01:00+00:00,4115,0.6,991.4,96.0,0.0,0.0,11.3,0
2024-06-05T02:00+00:00,4115,0.2,991.3,98.0,0.0,0.0,10.8,0
2024-06-05T03:00+00:00,4115,0.3,991.8,97.0,0.0,0.0,10.3,1
2024-06-05T04:00+00:00,4115,0.4,992.0,97.0,0.0,0.5,11.6,48
2024-06-05T05:00+00:00,4115,0.1,992.4,91.0,0.0,1.0,13.9,184
2024-06-05T06:00+00:00,4115,0.6,992.5,81.0,0.0,1.0,17.1,350
2024-06-05T07:00+00:00,4115,0.4,992.6,73.0,0.0,1.0,19.7,519
2024-06-05T08:00+00:00,4115,0.8,992.7,68.0,0.0,1.0,21.1,667
2024-06-05T09:00+00:00,4115,0.4,992.6,60.0,0.0,1.0,22.6,789
2024-06-05T10:00+00:00,4115,0.7,992.6,55.0,0.0,1.0,22.8,903
2024-06-05T11:00+00:00,4115,1.2,992.5,42.0,0.0,0.9,24.2,847
2024-06-05T12:00+00:00,4115,0.9,992.1,47.0,0.0,1.0,25.3,866
2024-06-05T13:00+00:00,4115,0.6,991.6,43.0,0.0,1.0,26.1,805
2024-06-05T14:00+00:00,4115,1.2,991.2,41.0,0.0,1.0,26.5,695
2024-06-05T15:00+00:00,4115,1.4,991.0,49.0,0.0,0.9,26.0,538
2024-06-05T16:00+00:00,4115,2.2,990.8,49.0,0.0,1.0,26.1,404
2024-06-05T17:00+00:00,4115,2.1,990.8,53.0,0.0,1.0,25.4,264
2024-06-05T18:00+00:00,4115,2.6,991.1,57.0,0.0,0.9,23.6,111
2024-06-05T19:00+00:00,4115,1.3,991.5,70.0,0.0,0.1,21.3,13
2024-06-05T20:00+00:00,4115,0.8,991.9,80.0,0.0,0.0,20.0,0
2024-06-05T21:00+00:00,4115,0.6,992.2,88.0,0.0,0.0,17.6,0
2024-06-05T22:00+00:00,4115,0.5,992.6,86.0,0.0,0.0,17.5,0
2024-06-05T23:00+00:00,4115,1.0,992.4,78.0,0.0,0.0,18.7,0
2024-06-06T00:00+00:00,4115,0.4,992.7,84.0,0.0,0.0,17.6,0
2024-06-06T01:00+00:00,4115,0.4,993.1,68.0,0.0,0.0,18.9,0
2024-06-06T02:00+00:00,4115,0.9,993.6,69.0,0.0,0.0,19.1,0
2024-06-06T03:00+00:00,4115,2.0,994.2,68.0,0.0,0.0,19.2,0
2024-06-06T04:00+00:00,4115,0.2,994.4,83.0,0.0,0.0,17.7,7
2024-06-06T05:00+00:00,4115,0.4,995.1,81.0,0.0,0.0,18.8,84
2024-06-06T06:00+00:00,4115,0.2,995.6,73.0,0.0,0.3,20.5,218
2024-06-06T07:00+00:00,4115,1.1,995.7,68.0,0.0,0.8,21.9,456
2024-06-06T08:00+00:00,4115,0.8,995.6,64.0,0.0,0.8,22.8,563
2024-06-06T09:00+00:00,4115,0.2,995.8,62.0,0.0,0.8,24.3,668
2024-06-06T10:00+00:00,4115,1.0,995.7,57.0,0.0,0.7,24.8,733
2024-06-06T11:00+00:00,4115,1.0,995.5,59.0,0.0,0.3,25.0,605
2024-06-06T12:00+00:00,4115,0.6,994.9,62.0,0.0,0.7,25.5,681
2024-06-06T13:00+00:00,4115,1.9,994.4,56.0,0.0,0.8,26.4,694
2024-06-06T14:00+00:00,4115,2.9,993.8,56.0,0.0,0.8,26.4,653
2024-06-06T15:00+00:00,4115,2.7,993.3,55.0,0.0,0.7,27.2,461
2024-06-06T16:00+00:00,4115,2.9,992.9,54.0,0.0,1.0,26.9,402
2024-06-06T17:00+00:00,4115,2.9,992.7,57.0,0.0,0.5,25.0,165
2024-06-06T18:00+00:00,4115,1.8,993.2,62.0,0.0,0.0,24.3,48
2024-06-06T19:00+00:00,4115,0.9,994.9,80.0,0.6,0.0,20.5,3
2024-06-06T20:00+00:00,4115,0.6,994.1,93.0,4.1,0.0,17.0,0
2024-06-06T21:00+00:00,4115,0.8,994.4,95.0,0.0,0.0,16.4,0
2024-06-06T22:00+00:00,4115,0.9,994.5,96.0,0.0,0.0,16.4,0
2024-06-06T23:00+00:00,4115,1.7,994.4,97.0,0.0,0.0,16.2,0
2024-06-07T00:00+00:00,4115,0.8,994.6,96.0,0.0,0.0,16.2,0
2024-06-07T01:00+00:00,4115,1.5,994.9,91.0,0.0,0.0,17.0,0
2024-06-07T02:00+00:00,4115,1.2,994.4,94.0,0.0,0.0,16.8,0
2024-06-07T03:00+00:00,4115,1.1,994.5,90.0,0.0,0.0,17.3,0
2024-06-07T04:00+00:00,4115,0.9,994.9,95.0,0.0,0.0,16.8,21
2024-06-07T05:00+00:00,4115,2.1,994.9,88.0,0.0,0.7,18.8,169
2024-06-07T06:00+00:00,4115,0.9,995.2,80.0,0.0,1.0,19.9,327
2024-06-07T07:00+00:00,4115,1.4,995.1,71.0,0.0,1.0,22.3,512
2024-06-07T08:00+00:00,4115,1.4,995.1,70.0,0.0,1.0,23.4,659
2024-06-07T09:00+00:00,4115,1.3,995.1,63.0,0.0,1.0,24.7,770
2024-06-07T10:00+00:00,4115,2.5,995.2,61.0,0.0,0.8,25.1,784
2024-06-07T11:00+00:00,4115,2.3,994.8,56.0,0.0,0.8,26.3,808
2024-06-07T12:00+00:00,4115,3.0,994.4,53.0,0.0,0.8,26.3,774
2024-06-07T13:00+00:00,4115,4.0,993.7,50.0,0.0,1.0,26.9,832
2024-06-07T14:00+00:00,4115,3.9,993.6,47.0,0.0,1.0,27.3,744
2024-06-07T15:00+00:00,4115,3.6,993.4,50.0,0.0,1.0,26.7,573
2024-06-07T16:00+00:00,4115,2.7,993.1,55.0,0.0,0.2,25.6,218
2024-06-07T17:00+00:00,4115,2.0,993.1,60.0,0.0,0.8,24.9,224
2024-06-07T18:00+00:00,4115,1.0,993.3,73.0,0.0,0.6,22.5,95
2024-06-07T19:00+00:00,4115,1.0,993.6,81.0,0.0,0.0,20.8,19
2024-06-07T20:00+00:00,4115,0.1,993.8,86.0,0.0,0.0,19.2,0
2024-06-07T21:00+00:00,4115,0.4,993.5,91.0,0.0,0.0,18.0,0
2024-06-07T22:00+00:00,4115,0.7,993.3,85.0,0.0,0.0,18.0,0
2024-06-07T23:00+00:00,4115,0.8,993.8,92.0,0.0,0.0,17.7,0
2024-06-08T00:00+00:00,4115,0.4,993.7,94.0,0.0,0.0,16.5,0
2024-06-08T01:00+00:00,4115,0.3,993.5,96.0,0.0,0.0,15.8,0
2024-06-08T02:00+00:00,4115,1.0,993.3,94.0,0.0,0.0,15.8,0
2024-06-08T03:00+00:00,4115,0.8,993.2,83.0,0.0,0.0,17.2,1
2024-06-08T04:00+00:00,4115,0.9,993.5,86.0,0.0,0.6,17.3,56
2024-06-08T05:00+00:00,4115,1.2,993.8,85.0,0.0,1.0,18.1,174
2024-06-08T06:00+00:00,4115,0.5,993.8,73.0,0.0,1.0,20.1,346
2024-06-08T07:00+00:00,4115,0.3,993.6,68.0,0.0,1.0,21.4,501
2024-06-08T08:00+00:00,4115,0.4,993.1,65.0,0.0,1.0,23.4,661
2024-06-08T09:00+00:00,4115,1.0,992.6,53.0,0.0,1.0,25.2,769
2024-06-08T10:00+00:00,4115,1.4,992.2,54.0,0.0,1.0,26.3,847
2024-06-08T11:00+00:00,4115,1.9,991.6,49.0,0.0,1.0,27.1,870
2024-06-08T12:00+00:00,4115,2.0,990.7,50.0,0.0,1.0,28.0,860
2024-06-08T13:00+00:00,4115,2.4,989.8,46.0,0.0,0.9,28.2,775
2024-06-08T14:00+00:00,4115,3.3,989.1,52.0,0.0,0.9,27.8,674
2024-06-08T15:00+00:00,4115,4.0,988.5,61.0,0.0,0.5,26.2,437
2024-06-08T16:00+00:00,4115,4.3,987.9,61.0,0.0,0.8,25.5,389
2024-06-08T17:00+00:00,4115,3.1,987.1,65.0,0.0,0.3,24.3,184
2024-06-08T18:00+00:00,4115,3.3,986.6,65.0,0.0,0.0,23.7,75
2024-06-08T19:00+00:00,4115,2.9,986.5,69.0,0.0,0.0,22.7,14
2024-06-08T20:00+00:00,4115,3.1,986.6,72.0,0.0,0.0,22.7,0
2024-06-08T21:00+00:00,4115,2.3,986.6,65.0,0.0,0.0,22.7,0
2024-06-08T22:00+00:00,4115,4.1,987.7,83.0,0.0,0.0,19.8,0
2024-06-08T23:00+00:00,4115,4.4,987.5,84.0,0.0,0.0,18.7,0
2024-06-09T00:00+00:00,4115,4.2,986.6,83.0,0.0,0.0,18.5,0
2024-06-09T01:00+00:00,4115,3.3,986.6,82.0,0.0,0.0,18.4,0
